id,school,location,date,description,L1,L2,clearance,actions,notes
339,DaVinci Arts Middle School,Hall Fountain by 110,1/23/15,Central double bubbler,2,0,,,
340,DaVinci Arts Middle School,Hall Fountain by 202,1/23/15,Central double bubbler,0,0,,,
341,DaVinci Arts Middle School,Hall Fountain by 204,1/23/15,Central double bubbler,0,0,,,
342,DaVinci Arts Middle School,Hall Fountain by 301,1/23/15,Central double bubbler,3,0,,,
343,DaVinci Arts Middle School,Hall Fountain by room 104,1/23/15,Central double bubbler,0,0,,,
344,DaVinci Arts Middle School,Faucet #1 Room 107,1/9/15,COLD WATER FAUCET,18,3,,"""signage posted, Teacher, students informed""",
345,DaVinci Arts Middle School,Faucet #2 Room 107,1/9/15,COLD WATER FAUCET,15,4,,,
346,DaVinci Arts Middle School,Faucet #3 Room 107,1/9/15,COLD WATER FAUCET,10,0,,,
347,DaVinci Arts Middle School,Faucet #4 Room 107,1/9/15,COLD WATER FAUCET,20,12,,"""signage posted, Teacher, students informed""",
348,De La Salle (formerly Kenton),Near counseling center - basement,5/13/12,Central double bubbler,4,1,,,
349,De La Salle (formerly Kenton),Near Room 106,5/13/12,Central single bubbler,1,0,,,
350,De La Salle (formerly Kenton),Near storage room - filter,5/13/12,Elkay double bubbler,1,0,,,
351,De La Salle (formerly Kenton),South of office ground floor,5/13/12,Halsey Taylor single bubbler,3,5,,,
352,Duniway Elementary School,Hall by Room 1,3/18/10,Central single bubbler,0,0,,,
353,Duniway Elementary School,Hall by Room 19,3/18/10,Central double bubbler,21,0,,"""fixture replaced, filter installed (3/15/10)""",
354,Duniway Elementary School,Room 1,3/18/10,central,0,0,x,,
355,Duniway Elementary School,Teacher's Lounge Upstairs,3/18/10,Sink fixture,14,6,x,,
356,Duniway Elementary School,Hall by Room 19,5/13/10,Central double bubbler,51,50,,"""fixture replaced, filter installed (3/15/10)""",
357,Duniway Elementary School,Hall by Room 12,2/12/10,Haws double bubbler,0,0,,,
358,Duniway Elementary School,Hall by Room 12,2/12/10,Haws double bubbler,12,0,,,
359,Duniway Elementary School,Hall by Room 19,2/12/10,Central single bubbler,31,26,,"""fixture replaced, filter installed (3/15/10)""",
360,Duniway Elementary School,Kitchen,2/12/10,COLD WATER FAUCET,2,0,,,
361,Duniway Elementary School,Kitchen,2/12/10,Wash sink,2,0,,,
362,Duniway Elementary School,Near Rm 1,2/12/10,Central single bubbler,16,15,,"""fixture replaced, filter installed (3/15/10)""",
363,Duniway Elementary School,Nurses Restroom,2/12/10,Wash sink,6,2,,,
364,Duniway Elementary School,Room 1,2/12/10,central,18,12,x,"""fixture replaced, filter installed (3/15/10)""",
365,Duniway Elementary School,Room 2,2/12/10,central,2,0,,,
366,Duniway Elementary School,Room 3,2/12/10,chicago,0,0,,,
367,Duniway Elementary School,Room 4,2/12/10,central,0,0,,,
368,Duniway Elementary School,Room 5,2/12/10,central,0,0,,,
369,Duniway Elementary School,Room 6,2/12/10,central,3,3,,,
370,Duniway Elementary School,Teacher's Lounge Upstairs,2/12/10,Sink for drinking,34,2,x,"""fixture replaced, filter installed (3/15/10)""",
371,Duniway Elementary School,,2/12/10,,0,0,,,
372,Edwards Elementary School,East Office,4/22/12,elkay sink drinker,2,16,,"""fixture replaces, filter installed""",
373,Edwards Elementary School,Near Room 3,4/22/12,Elkay single bubbler,12,2,,,
374,Edwards Elementary School,Near Room 5,4/22/12,sexauer in wall fountain,3,0,,,
375,Faubion Elementary School,Caf_ South,9/9/04,,0,0,,,
376,Faubion Elementary School,Gym,9/9/04,Haws in-wall fountain,6,0,,,
377,Faubion Elementary School,Hall by caf_,9/9/04,Halsey Taylor single bubbler,0,0,,,
378,Faubion Elementary School,Hall by Room 9,9/9/04,Standard single bubbler,0,0,,,
379,Faubion Elementary School,North cafeteria,9/9/04,Standard single bubbler,22,0,x,,
380,Faubion Elementary School,Room 1,9/9/04,Halsey Taylor single bubbler,1,0,,,
381,Faubion Elementary School,Room 10,9/9/04,Standard single bubbler,2,0,,,
382,Faubion Elementary School,Room 11,9/9/04,Chicago sink drinker,3,0,,,
383,Faubion Elementary School,Room 12,9/9/04,Central single bubbler,1,0,,,
384,Faubion Elementary School,Room 13,9/9/04,,0,0,,,
385,Faubion Elementary School,Room 14,9/9/04,Standard single bubbler,3,0,,,
386,Faubion Elementary School,Room 15,9/9/04,,1,0,,,
387,Faubion Elementary School,Room 20,9/9/04,Standard single bubbler,0,0,,,
388,Faubion Elementary School,Room 21,9/9/04,Central single bubbler,1,0,,,
389,Faubion Elementary School,Room 22,9/9/04,Standard single bubbler,4,0,,,
390,Faubion Elementary School,Room 4,9/9/04,Halsey Taylor single bubbler,3,0,,,
391,Faubion Elementary School,Room 5,9/9/04,Halsey Taylor single bubbler,4,0,,,
392,Faubion Elementary School,Room 6,9/9/04,Halsey Taylor single bubbler,6,0,,,
393,Faubion Elementary School,Room 7,9/9/04,Halsey Taylor single bubbler,3,0,,,
394,Faubion Elementary School,Room 8,9/9/04,Halsey Taylor single bubbler,1,0,,,
395,Faubion Elementary School,East Cafeteria,4/29/12,sexauer single bubbler,3,0,,,
396,Faubion Elementary School,North cafeteria,4/29/12,sexauer single bubbler,1,0,x,,
397,Faubion Elementary School,Room 8,4/29/12,sexauer single bubbler,4,3,,,
398,Faubion Elementary School,Room Principal2,4/29/12,Halsey Taylor single bubbler,17,3,,No action,
399,Forest Park Elementary School,Outside,7/16/12,Single bubbler,0,0,,,
400,Franklin High School,107A,3/11/12,Elkay single bubbler,8,15,,,
401,Franklin High School,East of auditorium,3/11/12,Central single bubbler,22,17,,filter installed,
402,Franklin High School,Near Rm 173,3/11/12,Elkay single bubbler,2,0,,,
403,Franklin High School,Near Rm 239,3/11/12,Elkay single bubbler,0,0,,,
404,Franklin High School,Near Rm 244,3/11/12,Central single bubbler,4,5,,,
405,Franklin High School,Near Rm 31,3/11/12,Haws single bubbler,9,0,,,
406,Franklin High School,Rm 101,3/11/12,Elkay single bubbler,0,2,,,
407,Franklin High School,Rm 273,3/11/12,Thin faucet for water bottles,28,4,,No action,
408,George Middle School,Near Rm 105,3/31/12,Central single bubbler,1,0,,,
409,George Middle School,Rm 212,3/31/12,Chicago sink drinker,3,0,,,
410,George Middle School,Rm 303,3/31/12,Chicago sink drinker,100,24,,filter installed,
411,George Middle School,Rm 413,3/31/12,Chicago sink drinker,15,1,,,
412,George Middle School,Rm 417,3/31/12,Chicago sink drinker,12,0,,,
413,Glencoe Elementary School,Across from Rm 102,2/19/12,Elkay single bubbler,0,0,,,
414,Glencoe Elementary School,Across from Rm 206,2/19/12,Elkay single bubbler,0,0,,,
415,Glencoe Elementary School,Rm 102,2/19/12,Chicago sink drinker,3,0,,,
416,Grant High School,Near Room 231 Left,5/20/12,Elkay double bubbler,3,0,,,
417,Grant High School,Near Room 231 Right,5/20/12,Elkay double bubbler,6,0,,,
418,Grant High School,Room 31,5/20/12,Haws sink drinker,7,9,,,
419,Grant High School,Room 32,5/20/12,Haws sink drinker,32,10,,filter installed,
420,Grant High School,Room 33,5/20/12,Haws sink drinker,14,5,,,
421,Grant High School,Room S12,5/20/12,Central single bubbler,5,4,,,
422,Grant High School,Boys locker room,6/26/12,Central in-wall fountain,4,1,,,
423,Grant High School,Near girls locker room,6/26/12,Elkay single cooler,0,1,,,
424,Grant High School,Near new gym,6/26/12,Central in-wall fountain,5,1,,,
425,Grant High School,Weight room,6/26/12,Elkay in-wall fountain,1,3,,,
426,Gray Middle School,Office work room,10/5/11,sink,2,0,,,
427,Gray Middle School,Hall Fountain by Room 100,10/9/03,Haws single bubbler,1,0,,,
428,Gray Middle School,Music Rm,1/16/12,Haws sink drinker,13,3,,,
429,Gray Middle School,North outside of Cafeteria,1/16/12,Elkay single bubbler,0,0,,,
430,Gray Middle School,Rm 106,1/6/12,Chicago sink drinker,0,0,,,
431,Gray Middle School,Art Rm,2/7/12,Haws sink drinker,29,5,,filter installed,
432,Gray Middle School,rm 222,2/7/12,Haws sink drinker,14,3,,,
433,Gray Middle School,Sun Room,2/7/12,Haws sink drinker,9,2,,,
434,Gray Middle School,100,1/8/12,Chicago sink drinker,1,0,,,
435,Gray Middle School,Across from Rm 113,1/8/12,Elkay single bubbler,3,0,,,
436,Gray Middle School,Boys locker rm,1/8/12,Elkay single bubbler,0,0,,,
437,Gray Middle School,Cafeteria,1/8/12,Elkay single bubbler,1,0,,,
438,Gray Middle School,East gym,1/8/12,Standard in-wall fountain,2,0,,,
439,Gray Middle School,Girls locker rm,1/8/12,Elkay single bubbler,1,0,,,
440,Gray Middle School,Near cafeteria south,1/8/12,Elkay single bubbler,8,1,,,
441,Gray Middle School,Near Rm 104,1/8/12,Elkay single bubbler,0,0,,,
442,Gray Middle School,Near Rm 124,1/8/12,Elkay single bubbler,0,0,,,
443,Gray Middle School,Near Rm 126,1/8/12,elkay sink drinker,0,0,,,
444,Gray Middle School,Rm 104,1/8/12,Chicago sink drinker,2,1,,,
445,Gray Middle School,Rm 105,1/8/12,Chicago sink drinker,0,0,,,
446,Gray Middle School,Rm 107,1/8/12,Chicago sink drinker,0,0,,,
447,Gray Middle School,Rm 111,1/8/12,,4,1,,,
448,Gray Middle School,Rm 112,1/8/12,Chicago sink drinker,0,0,,,
449,Gray Middle School,Rm 114,1/8/12,Chicago sink drinker,11,4,,,
450,Gray Middle School,Rm 115,1/8/12,Chicago sink drinker,1,0,,,
451,Gray Middle School,Rm 116,1/8/12,Chicago sink drinker,1,0,,,
452,Gray Middle School,Rm 117,1/8/12,Chicago sink drinker,0,0,,,
453,Gray Middle School,Rm 118,1/8/12,Chicago sink drinker,0,0,,,
454,Gray Middle School,Rm 119,1/8/12,Chicago sink drinker,2,0,,,
455,Gray Middle School,Rm 120,1/8/12,Chicago sink drinker,0,0,,,
456,Gray Middle School,Rm 121,1/8/12,Chicago sink drinker,2,0,,,
457,Gray Middle School,Rm 122,1/8/12,Chicago sink drinker,1,0,,,
458,Gray Middle School,Rm 123,1/8/12,Chicago sink drinker,1,0,,,
459,Gray Middle School,Rm 124,1/8/12,Chicago sink drinker,1,0,,,
460,Gray Middle School,Rm 125,1/8/12,elkay sink drinker,0,0,,,
461,Gray Middle School,Rm 126,1/8/12,In-wall fountain,0,0,,,
462,Gray Middle School,West gym,1/8/12,Standard in-wall fountain,1,0,,,
463,Green Thumb,Portable #2 Cold Water Sink Faucet,9/16/04,Sink for drinking,5,0,,,
464,Green Thumb,Porable #3 Cold Water Sink Faucet,9/16/04,Sink for drinking,1,0,,,
465,Green Thumb,Portable 4 cold water sink faucet,9/16/04,Sink for drinking,3,0,,,
466,Green Thumb,Portable 5 Cold Water Sink Faucet,9/16/04,Sink for drinking,3,0,,,
467,Green Thumb,Portable 4&5 fountain by Restrooms,9/16/04,Central single bubbler,4,0,,,
468,Green Thumb,House Downstairs sink,9/16/04,Sink fixture,1,0,,,
469,Green Thumb,House-Upstairs Kitchen Sink,9/16/04,Sink for drinking,2,0,,,
470,Grout Elementary School,Near Rm 112 Right fixture of left ftn,2/1/12,Halsey Taylor double bubbler,1,0,,,
471,Grout Elementary School,Near Rm 106,2/4/12,,8,11,,,
472,Grout Elementary School,Near Rm 208,2/4/12,,28,4,,filter installed,
473,Grout Elementary School,Near Rm A left double right fixture,2/4/12,,46,0,,filter installed,
474,Grout Elementary School,Nr Rm A left double left fixture,2/4/12,,26,0,,filter installed,
475,Grout Elementary School,Rm 109,2/4/12,,10,3,,,
476,Grout Elementary School,Near 101 Left double right fixture,2/7/12,Halsey Taylor double bubbler,1,0,,,
477,Grout Elementary School,"""Near 101Right double, elkay fixture left""",2/7/12,Halsey Taylor double bubbler,1,0,,,
478,Grout Elementary School,Near library left fixture,2/7/12,Unmarked fixture,6,0,,,
479,Grout Elementary School,Near library right fixture,2/7/12,Halsey Taylor double bubbler,4,3,,,
480,Grout Elementary School,Near Rm 201 Left,2/7/12,Halsey Taylor double bubbler,29,38,,filter installed,
481,Grout Elementary School,Near Rm 206 left,2/7/12,Halsey Taylor double bubbler,16,11,,filter installed,
482,Grout Elementary School,Near Rm 206 Right,2/7/12,Halsey Taylor double bubbler,24,25,,filter installed,
483,Grout Elementary School,Near Rm 213 left (elkay fixture),2/7/12,Halsey Taylor double bubbler,6,0,,,
484,Grout Elementary School,Near Rm 213 Right,2/7/12,Halsey Taylor double bubbler,7,12,,,
485,Grout Elementary School,Near Rm C Left double Left fixture,2/7/12,Central double bubbler,24,0,,filter installed,
486,Grout Elementary School,Near Rm C left double right fixture - elkay,2/7/12,,25,0,,filter installed,
487,Grout Elementary School,Near Rm C right double left fixture,2/7/12,Halsey Taylor double bubbler,35,5,,filter installed,
488,Grout Elementary School,Rm 112,2/7/12,Chicago sink drinker,5,23,,filter installed,
489,Grout Elementary School,Near Rm 106,2/11/12,Elkay single cooler,0,18,,"""fixture replaced, filter installed 11/19/01""",
490,Grout Elementary School,Near Rm 111 Left,2/11/12,,0,1,,,
491,Grout Elementary School,Near Rm 201 right (central brand fixture),2/11/12,Halsey Taylor double bubbler,24,3,,filter installed,
492,Grout Elementary School,Near Rm A right double left fixture,2/11/12,Halsey Taylor double bubbler,0,18,,filter installed,
493,Grout Elementary School,Near Rm C,2/11/12,Halsey Taylor double bubbler,0,14,,,
494,Grout Elementary School,Room 104,3/22/16,Sink faucet for washing,0,0,,,
495,Grout Elementary School,Room 104,3/22/16,,0,0,,,
496,Harrison Park School,Near room 137,12/13/11,Central single bubbler,6,0,,,
497,Harrison Park School,North gym,12/13/11,In-wall fountain,2,6,,,
498,Harrison Park School,Room 185A,12/13/11,Chicago sink drinker,2,0,,,
499,Harrison Park School,Room 197,12/13/11,Chicago sink drinker,4,0,,,
500,Harrison Park School,Room 198,12/13/11,Sink drinker,2,0,,,
501,Harrison Park School,Near Room 169,2/27/12,Elkay single bubbler,0,12,,,
502,Harrison Park School,Room 107 - has filter,2/27/12,Elkay single bubbler,4,0,,,
503,Harrison Park School,Room 130,2/27/12,Central single bubbler,14,41,,filter installed,
504,Harrison Park School,Room 149,2/27/12,Central single bubbler,13,7,,,
505,Harrison Park School,Room 169B,2/27/12,Central single bubbler,3,1,,,
506,Harrison Park School,Room 188,2/27/12,Chicago sink drinker,2,0,,,
507,Harrison Park School,Room 189,2/27/12,Chicago sink drinker,3,0,,,
508,Harrison Park School,North gym,6/24/12,In-wall fountain,10,6,,,
509,Harrison Park School,Rm 110,4/8/12,sink faucet for drinking,8,0,,,
510,Hayhurst Elementary School,Gym,1/28/12,,11,8,,,
511,Hayhurst Elementary School,Rm 15,1/28/12,,21,3,,filter installed,
512,Hayhurst Elementary School,Rm 8,1/28/12,,4,5,,,
513,Holladay Annex,Near office,3/10/12,Elkay double bubbler,0,0,,,
514,Holladay Center,Rm 1,2/25/12,Chicago sink drinker,2,0,,,
515,Holladay Center,Rm 14,2/25/12,Chicago sink drinker,4,0,,,
516,Holladay Center,Rm 4,2/25/12,Chicago sink drinker,2,0,,,
517,Hosford Middle School,Near Rm 207,2/19/12,Central double bubbler,4,0,,,
518,Hosford Middle School,Rm 13,2/19/12,Chicago sink drinker,1,0,,,
519,Hosford Middle School,Rm 20,2/19/12,Elkay single bubbler,2,2,,,
520,Hosford Middle School,Rm 3,2/19/12,Elkay single bubbler,0,0,,,
521,Hosford Middle School,Rm 8,2/19/12,Central sink drinker,2,0,,,
522,Hosford Middle School,Rm 9,2/19/12,Standard single bubbler,2,0,,,
523,Humboldt Elementary School,Rm 19,3/11/12,Haws sink drinker,13,10,,,
524,Humboldt Elementary School,Rm 22,3/11/12,Haws sink drinker,13,5,,,
525,Humboldt Elementary School,Rm 37,3/11/12,Haws sink drinker,4,2,,,
526,Irvington Elementary School,Rm 111,3/19/12,Halsey Taylor single bubbler,5,0,,,
527,Jackson Middle School,"""Across from A108, left""",12/2/11,,5,4,,,
528,Jackson Middle School,Across from A112,12/2/11,,0,0,,,
529,Jackson Middle School,Boys locker rm across from towel rm,12/2/11,,5,3,,,
530,Jackson Middle School,"""Boys locker room, Near TM Rm A""",12/2/11,,1,0,,,
531,Jackson Middle School,Across from A108,7/15/12,,45,58,,filter installed,
532,Jackson Middle School,Near D147 - filter,7/15/12,Elkay double bubbler,4,0,,,
533,Jackson Middle School,Near G east - mech,7/15/12,Central double bubbler,19,12,,No action,no filter - field verified
534,Jackson Middle School,Near G220 left - filter,7/15/12,Elkay double bubbler,0,0,,,
535,Jackson Middle School,Near G220 right - filter,7/15/12,Elkay double bubbler,0,0,,,
536,James John Elementary School,Across from Room 28,4/9/12,Central double bubbler,3,0,,,
537,James John Elementary School,Near Rm 21,4/9/12,Central double bubbler,7,2,,,
538,James John Elementary School,Near Rm 39,4/9/12,Elkay double bubbler,8,0,,,
539,James John Elementary School,Near Room 31,4/9/12,Elkay single bubbler,5,0,,,
540,James John Elementary School,Rm 39,4/9/12,Chicago sink drinker,4,1,,,
541,James John Elementary School,Rm 40,4/9/12,elkay sink drinker,0,0,,,
542,Jefferson High School,A11,6/22/12,chicago faucet,20,18,,"""fixture replaced, filter installed 11/5/04""",
543,Jefferson High School,Auto Shop,6/22/12,Elkay single cooler,37,39,,filter installed,
544,Jefferson High School,Boys locker room (outside building),6/22/12,Elkay single bubbler,26,26,,filter installed,
545,Jefferson High School,Girls locker room (outside building),6/22/12,Kohler single bubbler,64,57,,filter installed,
546,Jefferson High School,Gym - South (outside building),6/22/12,elkay in-wall,4,2,,,
547,Jefferson High School,Gym entrance - North (outside building),6/22/12,Kohler single bubbler,9,4,,,
548,Jefferson High School,Gym North (the ouside building),6/22/12,elkay in-wall,18,11,,filter installed,
549,Jefferson High School,A12,6/10/12,Faucet for drinking,10,34,,filter installed,
550,Jefferson High School,A41,6/10/12,Central sink drinker,66,33,,filter installed,
551,Jefferson High School,A42,6/10/12,Central sink drinker,18,3,,filter installed,
552,Jefferson High School,A43,6/10/12,Central sink drinker,3,3,,,
553,Jefferson High School,East cafeteria - filter,6/10/12,Elkay single bubbler,3,0,,,
554,Jefferson High School,Gym B floor east,6/10/12,Haws in-wall fountain,4,1,,,
555,Jefferson High School,Gym B floor west,6/10/12,Haws in-wall fountain,20,22,,filter installed,
556,Jefferson High School,Near B23,6/10/12,Halsey Taylor double bubbler,64,40,,filter installed,
557,Jefferson High School,Near D21,6/10/12,Haws double bubbler,48,21,,filter installed,
558,Jefferson High School,Near D33,6/10/12,central double in wall,14,65,,filter installed,
559,Jefferson High School,Near dance offices,6/10/12,Haws single bubbler,22,2,,filter installed,
560,Jefferson High School,Near locker c376,6/10/12,Halsey Taylor double bubbler,65,14,,filter installed,
561,Jefferson High School,Near TV studio,6/10/12,Haws single bubbler,150,140,,filter installed,
562,Jefferson High School,North dance studio,6/10/12,haws in wall,10,10,,,
563,Jefferson High School,South dance studio,6/10/12,,11,8,,,
564,Jefferson High School,West Cafeteria,6/10/12,Elkay single bubbler,8,9,,,
